id,image,brand,name,subtitle,price,category,benefits,assetFallback,subtitle_ru,subtitle_en,benefits_ru,benefits_en
grain_rice_foam,product_9.webp,MERIKIT,Grain Rice Cleansing Foam,Guruchli tozalovchi penka,,Tozalovchi,"Kir, chang va ortiqcha yog'ni samarali olib tashlaydi|Guruch ekstrakti terini yorqinlashtiradi|Namlikni saqlab, tortish hissini oldini oladi|Nozik teri uchun ham mos yumshoq pufakchalar",assets/products/product_9.webp,Рисовая очищающая пенка,Rice cleansing foam,"Эффективно удаляет грязь, пыль и избыток себума|Экстракт риса осветляет кожу|Удерживает влагу и не даёт коже стягиваться|Мягкая пена, подходит даже для нежной кожи","Removes dirt, dust and excess oil effectively|Rice extract brightens the skin|Holds moisture in and stops the skin feeling tight|A gentle foam, fine even for delicate skin"
dritch_ph_foam,product_11.png,Dr.Itch,pH Balanced Cleansing Foam,Hypoallergenic • 150ml,,Tozalovchi,pH balansini saqlab yumshoq tozalaydi|Cica va Madecassoside terini tinchlantiradi|Gipoallergen — qichishishga moyil teri uchun|Glitserin terini namlantiradi va yumshatadi,assets/products/product_11.png,Гипоаллергенное • 150 мл,Hypoallergenic • 150 ml,"Мягко очищает, сохраняя pH-баланс|Cica и мадекассозид успокаивают кожу|Гипоаллергенно — для кожи, склонной к зуду|Глицерин увлажняет и смягчает кожу",Cleanses gently while keeping the pH in balance|Cica and madecassoside calm the skin|Hypoallergenic — for skin prone to itching|Glycerin hydrates and softens the skin
erste_green_foam,product_3.jpg,erste Liebe,Low pH Madeca Green Creamy Biome Cleansing Foam,Hypoallergenic • 150ml,,Tozalovchi,"pH muvozanatini tiklagan holda yuvadi|Sezuvchan terini tinchlantiradi, qizarishni kamaytiradi|Poralar ichidagi yog'ni muloyim tozalaydi|Mikrobiomni qo'llab-quvvatlovchi fermentlar",assets/products/product_3.jpg,Гипоаллергенное • 150 мл,Hypoallergenic • 150 ml,"Умывает, восстанавливая pH-баланс|Успокаивает чувствительную кожу и снимает покраснение|Деликатно очищает себум внутри пор|Ферменты, поддерживающие микробиом",Washes while restoring the pH balance|Calms sensitive skin and reduces redness|Gently clears the oil sitting inside the pores|Enzymes that support the skin microbiome
erste_white_foam,product_4.jpg,erste Liebe,Madeca White Creamy Biome Cleansing Foam,Moisturizing • 150ml,,Tozalovchi,"Makiyaj qoldiqlari va ortiqcha yog'ni tozalaydi|Tabiiy namlikni saqlaydi, teri tortilmaydi|Oq gullar kompleksi terini xotirjam qiladi|Biome moslashuvli krem tekstura",assets/products/product_4.jpg,Увлажняющее • 150 мл,Moisturising • 150 ml,"Убирает остатки макияжа и избыток себума|Сохраняет естественную влагу, кожа не стягивается|Комплекс белых цветов успокаивает кожу|Кремовая текстура, дружественная микробиому","Clears makeup residue and excess oil|Keeps the natural moisture, so skin never feels tight|A white flower complex calms the skin|A creamy texture that respects the microbiome"
one_point_oil,product_8.png,MERIKIT,One Point Cleansing Oil,Deep cleansing,,Tozalovchi,Qattiq makiyajni bir harakatda eritadi|Poralarni tozalab qora nuqtalarni kamaytiradi|Yog'-nam muvozanatini buzmaydi|Ta'sirchan teriga ham mos,assets/products/product_8.png,Глубокое очищение,Deep cleansing,Растворяет стойкий макияж одним движением|Очищает поры и уменьшает чёрные точки|Не нарушает баланс влаги и себума|Подходит и для чувствительной кожи,Dissolves stubborn makeup in one pass|Clears the pores and reduces blackheads|Leaves the oil and moisture balance intact|Suitable for sensitive skin too
double_peeling_gel,product_7.png,MERIKIT,Double Peeling Gel,AHA + BHA formula,,Tozalovchi,O'lik hujayralarni yumshoq olib tashlaydi|Teringa silliqlik va yorqinlik beradi|Keyingi parvarish samarasini oshiradi|Tirnash keltirmaydigan formula,assets/products/product_7.png,Формула AHA + BHA,AHA + BHA formula,"Мягко удаляет отмершие клетки|Придаёт коже гладкость и сияние|Усиливает действие последующего ухода|Формула, не вызывающая раздражения",Lifts away dead cells gently|Leaves skin smooth and bright|Makes the next step of your routine work harder|A formula that will not irritate
rose_remover,product_10.png,MERIKIT,Rose Waterproof Lip & Eye Remover,Ikki fazali remover,,Tozalovchi,"Suvga chidamli makiyajni oson eritadi|Ko'z va lab atrofidagi nozik teriga mos|Atirgul ekstrakti qizarishni kamaytiradi|Yog'siz, yengil tekstura",assets/products/product_10.png,Двухфазное средство для снятия,Two-phase remover,Легко растворяет водостойкий макияж|Подходит для нежной кожи вокруг глаз и губ|Экстракт розы уменьшает покраснение|Лёгкая текстура без масел,"Dissolves waterproof makeup easily|Safe on the delicate skin around eyes and lips|Rose extract reduces redness|A light, oil-free texture"
o2_mask_cleanser,o2_mask_cleanser.png,MERIKIT,O2 Cleansing Mask,Kislorod pufakchali niqob,,Niqob,Kislorod hujayra yangilanishini tezlashtiradi|Poralarni chuqur tozalaydi va toraytiradi|Yog'li va aralash terini muvozanatlaydi|Teringa toza va yorqin ko'rinish beradi,,Кислородная пузырьковая маска,Oxygen bubble mask,Кислород ускоряет обновление клеток|Глубоко очищает и сужает поры|Балансирует жирную и комбинированную кожу|Придаёт коже чистый и сияющий вид,Oxygen speeds up cell renewal|Cleans deep into the pores and tightens them|Balances oily and combination skin|Leaves skin looking clean and bright
cica_sun_cream,product_1.jpg,MERIKIT,Cica Perfect Sun Cream,SPF 50+ / PA++++,,Himoya,"SPF 50+ / PA++++ kuchli quyosh himoyasi|Cica ekstrakti terini tinchlantiradi|Yengil, yog'siz formula|Kundalik foydalanish uchun ideal",assets/products/product_1.jpg,SPF 50+ / PA++++,SPF 50+ / PA++++,SPF 50+ / PA++++ — сильная защита от солнца|Экстракт Cica успокаивает кожу|Лёгкая формула без масел|Идеально для ежедневного применения,"SPF 50+ / PA++++ high sun protection|Cica extract calms the skin|A light, oil-free formula|Ideal for everyday use"
aqua_shining_sunblock,aqua_shining_sun_bloc.png,MERIKIT,Aqua Shining Sunblock,Namlovchi quyosh kremi,,Himoya,Yuqori darajadagi UVA/UVB himoyasi|Aqua kompleksi terini chuqur namlaydi|Yorqin va sog'lom ko'rinish beradi|Makiyaj ostida ham qulay,,Увлажняющий солнцезащитный крем,Moisturising sun cream,Высокая защита от UVA/UVB|Aqua-комплекс глубоко увлажняет кожу|Придаёт сияющий и здоровый вид|Комфортно и под макияжем,"High UVA/UVB protection|An aqua complex hydrates deeply|Leaves a bright, healthy look|Comfortable under makeup"
